Name;ISIN;Symbol;Market;Currency;Open Price;High Price;low Price;last Price;last Trade MIC Time;Time Zone;Volume;Turnover;Closing Price;Closing Price DateTime
EQUITA GROUP;IT0005312027;EQUI;Euronext Milan;EUR;3.73;3.74;3.69;3.69;08/03/2024 17:35;CET;21886;81458.58;3.69;08/03/2024
ERG;IT0001157020;ERG;Euronext Milan;EUR;26.14;26.14;25.60;25.64;08/03/2024 17:35;CET;359459;9263387.30;25.64;08/03/2024
ESPRINET;IT0003850929;PRT;Euronext Milan;EUR;5.035;5.065;4.956;5.005;08/03/2024 17:35;CET;235387;1.178.907.174;5.005;08/03/2024
EUKEDOS;IT0004818297;EUK;Euronext Milan;EUR;0.832;0.86;0.83;0.86;08/03/2024 17:35;CET;393;327.072;0.86;08/03/2024
EUROCOMMERCIAL;NL0015000K93;ECMPM;Euronext Milan;EUR;19.86;20.14;19.86;20.14;08/03/2024 14:47;CET;280;5600.00;20.14;08/03/2024
EUROGROUP LAM;IT0005527616;EGLA;Euronext Milan;EUR;3.246;3.416;3.246;3.294;08/03/2024 17:35;CET;621892;2.080.238.962;3.294;08/03/2024
EUROTECH;IT0003895668;ETH;Euronext Milan;EUR;2.255;2.285;2.225;2.25;08/03/2024 17:35;CET;239092;539.314.975;2.25;08/03/2024
EXPRIVIA;IT0001477402;XPR;Euronext Milan;EUR;1.646;1.68;1.646;1.68;08/03/2024 17:18;CET;28163;47.077.154;1.68;08/03/2024
FERRARI;NL0011585146;RACE;Euronext Milan;EUR;384.60;389.00;383.60;387.30;08/03/2024 17:39;CET;274258;106149727.40;387.30;08/03/2024
FERRETTI;IT0005383291;YACHT;Euronext Milan;EUR;3.25;3.25;3.128;3.132;08/03/2024 17:35;CET;951170;3010720.06;3.132;08/03/2024
FIDIA;IT0001498481;FDA;Euronext Milan;EUR;0.382;0.40;0.35;0.352;08/03/2024 17:35;CET;1382685;519.556.228;0.352;08/03/2024
FIERA MILANO;IT0003365613;FM;Euronext Milan;EUR;3.25;3.265;3.185;3.20;08/03/2024 17:35;CET;146237;469.023.545;3.20;08/03/2024
FILA;IT0004967292;FILA;Euronext Milan;EUR;8.49;8.61;8.45;8.48;08/03/2024 17:35;CET;115203;977862.90;8.48;08/03/2024
FINCANTIERI;IT0001415246;FCT;Euronext Milan;EUR;0.519;0.526;0.492;0.515;08/03/2024 17:35;CET;16567116;84.711.212.895;0.515;08/03/2024
FINE FOODS & PHARM;IT0005215329;FF;Euronext Milan;EUR;8.28;8.29;8.28;8.28;08/03/2024 17:35;CET;823;6815.44;8.28;08/03/2024
FINECOBANK;IT0000072170;FBK;Euronext Milan;EUR;13.20;13.305;13.165;13.255;08/03/2024 17:39;CET;1610929;21.342.929.965;13.255;08/03/2024
FNM;IT0000060886;FNM;Euronext Milan;EUR;0.46;0.46;0.452;0.46;08/03/2024 17:35;CET;836077;383.618.732;0.46;08/03/2024
GABETTI;IT0005023038;GAB;Euronext Milan;EUR;0.689;0.697;0.685;0.694;08/03/2024 17:35;CET;45342;31.278.339;0.694;08/03/2024
GAROF HEALTH CARE;IT0005345233;GHC;Euronext Milan;EUR;4.86;4.86;4.77;4.82;08/03/2024 17:35;CET;24149;115896.21;4.82;08/03/2024
GAS PLUS;IT0004098510;GSP;Euronext Milan;EUR;2.355;2.37;2.33;2.37;08/03/2024 17:35;CET;21659;50.880.215;2.37;08/03/2024
GEFRAN;IT0003203947;GE;Euronext Milan;EUR;7.91;7.91;7.86;7.91;08/03/2024 17:29;CET;3728;29420.72;7.91;08/03/2024
GENERALFINANCE;IT0005144784;GF;Euronext Milan;EUR;10.50;10.70;10.40;10.50;08/03/2024 17:35;CET;39883;415562.90;10.50;08/03/2024
GENERALI ASS;IT0000062072;G;Euronext Milan;EUR;22.10;22.24;22.07;22.22;08/03/2024 17:35;CET;2146739;47639120.55;22.22;08/03/2024
GEOX;IT0003697080;GEO;Euronext Milan;EUR;0.69;0.701;0.686;0.696;08/03/2024 17:35;CET;433686;300.108.565;0.696;08/03/2024
GIGLIO GROUP;IT0005122400;GG;Euronext Milan;EUR;0.427;0.427;0.419;0.419;08/03/2024 16:49;CET;21972;9.214.368;0.419;08/03/2024
GPI;IT0005221517;GPI;Euronext Milan;EUR;11.70;11.72;11.28;11.28;08/03/2024 17:35;CET;42866;489381.26;11.28;08/03/2024
GREENTHESIS;IT0001042297;GTH;Euronext Milan;EUR;0.92;0.92;0.90;0.90;08/03/2024 17:35;CET;21105;19.216.514;0.90;08/03/2024
GVS;IT0005411209;GVS;Euronext Milan;EUR;6.57;6.695;6.55;6.66;08/03/2024 17:35;CET;64421;427014.54;6.66;08/03/2024
HERA;IT0001250932;HER;Euronext Milan;EUR;3.308;3.364;3.286;3.346;08/03/2024 17:35;CET;1729131;5.767.585.454;3.346;08/03/2024
I GRANDI VIAGGI;IT0005108219;IGV;Euronext Milan;EUR;0.798;0.798;0.798;0.798;08/03/2024 17:35;CET;3750;2992.50;0.798;08/03/2024
IGD;IT0005322612;IGD;Euronext Milan;EUR;1.64;1.656;1.61;1.63;08/03/2024 17:35;CET;709648;1.159.783.346;1.63;08/03/2024
IL SOLE 24 ORE;IT0005283111;S24;Euronext Milan;EUR;0.666;0.666;0.638;0.658;08/03/2024 16:09;CET;4610;3.007.064;0.658;08/03/2024
ILLIMITY BANK;IT0005359192;ILTY;Euronext Milan;EUR;4.634;4.70;4.49;4.492;08/03/2024 17:35;CET;663647;3.034.765.348;4.492;08/03/2024
IMMSI;IT0001413837;IMS;Euronext Milan;EUR;0.60;0.60;0.581;0.587;08/03/2024 17:35;CET;1589441;934.602.948;0.587;08/03/2024
